"words","topics","probability","frequency","saliency","lift","phi","relevance"
"card",1,1.07671779606821e-05,70,0.0130987816066856,0.000791770687126305,1.07671779606821e-05,-9.29012343672669
"card",2,6.7759585654066e-08,70,0.0130987816066856,4.98274049975068e-06,6.7759585654066e-08,-14.3584152093295
"card",3,0.0357188494615214,70,0.0130987816066856,2.62660634799411,0.0357188494615214,-1.18319204122002
"cards",1,6.1707666709617e-08,8,0.00150098092056209,3.97047798085921e-05,6.1707666709617e-08,-13.3674483176086
"cards",2,2.60635457508307e-10,8,0.00150098092056209,1.67701583976213e-07,2.60635457508307e-10,-18.8344890611569
"cards",3,0.00408322336097871,8,0.00150098092056209,2.62728268790129,0.00408322336097871,-2.26745922473593
"care",1,0.00389765215275844,23,0.000262184318244669,0.873648344304355,0.00389765215275844,-2.84122912779411
"care",2,0.006017549583069,23,0.000262184318244669,1.34881770460121,0.006017549583069,-2.40692335708125
"care",3,0.00382542028304897,23,0.000262184318244669,0.857457763178991,0.00382542028304897,-2.85993514837078
"cars",1,0.00129346534447386,6,0.000663874491456073,1.11033002157531,0.00129346534447386,-3.27288653044276
"cars",2,0.00259487517507506,6,0.000663874491456073,2.22747970901246,0.00259487517507506,-2.5766730473001
"cars",3,2.23939368778808e-06,6,0.000663874491456073,0.00192232907692535,2.23939368778808e-06,-9.63176158551939
"case",1,9.22598879293795e-08,16,0.0029578595830548,2.94318755835044e-05,9.22598879293795e-08,-13.3160443204834
"case",2,0.00988834497707226,16,0.0029578595830548,3.15448615453265,0.00988834497707226,-1.73378643735732
"case",3,0.000990562654604969,16,0.0029578595830548,0.315999915698091,0.000990562654604969,-4.03462538523357
"cash",1,0.026358394374178,47,0.00966432638020691,2.93662086729807,0.026358394374178,-1.27935446359669
"cash",2,2.94251461050421e-11,47,0.00966432638020691,3.2782914182365e-09,2.94251461050421e-11,-21.8925574784012
"cash",3,1.46792396609682e-06,47,0.00966432638020691,0.000163543199530768,1.46792396609682e-06,-11.075047404269
"cashier",1,0.00336358775116258,6,0.00123025316174152,2.93545462644,0.00336358775116258,-2.30894237601863
"cashier",2,6.55748243801188e-13,6,0.00123025316174152,5.72281551263463e-10,6.55748243801188e-13,-24.6671947387411
"cashier",3,1.38290866263131e-06,6,0.00123025316174152,0.00120688560310696,1.38290866263131e-06,-10.1055168348109
"center",1,0.0145171088574085,26,0.00518005534865821,2.92336657535275,0.0145171088574085,-1.57984575749565
"center",2,7.42775314194577e-05,26,0.00518005534865821,0.0149575548949984,7.42775314194577e-05,-6.85512040906104
"center",3,5.27216809222116e-06,26,0.00518005534865821,0.00106167695867178,5.27216809222116e-06,-9.50048723089607
"chance",1,1.04445606627637e-06,7,0.0013100124326848,0.000768046739772716,1.04445606627637e-06,-10.471837143195
"chance",2,8.37617147562064e-13,7,0.0013100124326848,6.15946558342394e-10,8.37617147562064e-13,-24.5080380877018
"chance",3,0.00357191922302457,7,0.0013100124326848,2.6266312222745,0.00357191922302457,-2.33447505455289
"change",1,0.00194264567155676,10,0.000158603857678092,1.0049733859354,0.00194264567155676,-3.11937171361887
"change",2,0.000655765112336577,10,0.000158603857678092,0.339241733565895,0.000655765112336577,-4.20537512047873
"change",3,0.00286028480303021,10,0.000158603857678092,1.4796883164686,0.00286028480303021,-2.73250130450625
"charge",1,1.85575857132497e-10,11,0.00206196604670126,8.68404395746188e-08,1.85575857132497e-10,-19.3333754071004
"charge",2,6.08197336518657e-07,11,0.00206196604670126,0.00028460665556125,6.08197336518657e-07,-11.2385844639558
"charge",3,0.00561406806442697,11,0.00206196604670126,2.6271097224063,0.00561406806442697,-2.10829770002182
"charges",1,0.000567195044880929,9,0.00106179011203041,0.325021778268517,0.000567195044880929,-4.29933520386528
"charges",2,1.40576700499142e-17,9,0.00106179011203041,8.0555162799322e-15,1.40576700499142e-17,-35.6278914010176
"charges",3,0.00407750642842444,9,0.00106179011203041,2.33654789869689,0.00407750642842444,-2.3267975318853
"check",1,0.0342119192041241,61,0.0125500970582114,2.93680321673591,0.0342119192041241,-1.14892976618516
"check",2,1.85785929212891e-13,61,0.0125500970582114,1.59481469391205e-11,1.85785929212891e-13,-27.0879298875176
"check",3,4.80472209952779e-09,61,0.0125500970582114,4.12444658051057e-07,4.80472209952779e-09,-16.9274152171778
"checking",1,7.83992807389935e-17,16,0.00300252654750574,2.52223558164825e-14,7.83992807389935e-17,-34.1978812894584
"checking",2,3.84464778508869e-10,16,0.00300252654750574,1.23688729680306e-07,3.84464778508869e-10,-18.792333303169
"checking",3,0.00816655913696945,16,0.00300252654750574,2.62731824077234,0.00816655913696945,-1.92087198572031
"checks",1,0.00858667187170797,27,0.0017476308508902,1.65288838165157,0.00858667187170797,-2.1275098841949
"checks",2,4.79818330265581e-05,27,0.0017476308508902,0.009236246071223,4.79818330265581e-05,-7.31465392126866
"checks",3,0.00593183623507241,27,0.0017476308508902,1.14184672959452,0.00593183623507241,-2.49738728607965
"choice",1,3.14806251185594e-07,11,0.00264269152907685,0.000145921920572735,3.14806251185594e-07,-11.9018736664319
"choice",2,0.00764618093195185,11,0.00264269152907685,3.54422887866751,0.00764618093195185,-1.80411418385247
"choice",3,6.54353411021524e-05,11,0.00264269152907685,0.030331197716048,6.54353411021524e-05,-6.56501326510416
"clients",1,0.00392595854732369,7,0.00144017823954448,2.93680367777759,0.00392595854732369,-2.23141146808872
"clients",2,1.58702115407739e-17,7,0.00144017823954448,1.18716728814739e-14,1.58702115407739e-17,-35.3733545362457
"clients",3,1.23993886903686e-17,7,0.00144017823954448,9.27533234727912e-15,1.23993886903686e-17,-35.6201512280647
"coffee",1,7.91042878407286e-07,7,0.00175110994996195,0.000576136228273502,7.91042878407286e-07,-10.7545400403066
"coffee",2,0.00492238722896186,7,0.00175110994996195,3.58509720472521,0.00492238722896186,-2.01858803452123
"coffee",3,2.87863586296865e-09,7,0.00175110994996195,2.09658218781117e-06,2.87863586296865e-09,-16.3705756912077
