"","counts","tfidf","positivity","negativity","sentiment","words"
"115",5,1.03732223805487,0.00175131348511384,0.00700525394045534,0.25,"agreed"
"116",1,0.0635926870511309,0,0.00175131348511384,0,"agreeing"
"117",2,0.0978914262718965,0,0.00350262697022767,0,"agreement"
"118",1,0.0375301103908313,0,0.00175131348511384,0,"agrees"
"119",9,0.937723454314074,0.00525394045534151,0.010507880910683,0.5,"ahead"
"120",4,0.173935249379233,0.00175131348511384,0.00525394045534151,0.333333333333333,"ahem"
"121",1,0.286167091730089,0.00175131348511384,0,Inf,"ahwatukee"
"122",2,0.118926583576141,0.00350262697022767,0,Inf,"aileen"
"123",1,0.53866746678605,0.00175131348511384,0,Inf,"aime"
"124",2,0.126527300051442,0,0.00350262697022767,0,"air"
"125",1,0.0984660960791704,0,0.00175131348511384,0,"airtouch"
"126",1,0.100630186102888,0,0.00175131348511384,0,"airtouchverizon"
"127",1,0.286167091730089,0.00175131348511384,0,Inf,"aka"
"128",1,0.114466836692036,0,0.00175131348511384,0,"alarm"
"129",2,0.378399098397373,0,0.00350262697022767,0,"albeit"
"130",4,1.46517550965805,0.00700525394045534,0,Inf,"alberto"
"131",1,0.0517364233636319,0.00175131348511384,0,Inf,"alcohol"
"132",1,0.0663575864881366,0,0.00175131348511384,0,"alerts"
"133",6,1.01153101337463,0.010507880910683,0,Inf,"alex"
"134",1,0.0663575864881366,0,0.00175131348511384,0,"alexis"
"135",2,0.918822044917243,0.00350262697022767,0,Inf,"aliante"
"136",1,0.0494991726235829,0,0.00175131348511384,0,"alisha"
"137",2,0.603855552358029,0.00350262697022767,0,Inf,"allard"
"138",7,0.445893970350752,0,0.0122591943957968,0,"allow"
"139",14,0.658944163964498,0.00875656742556918,0.0157618213660245,0.555555555555556,"allowed"
"140",4,0.449432089604576,0.00175131348511384,0.00525394045534151,0.333333333333333,"allowing"
"141",2,0.190821658816285,0.00175131348511384,0.00175131348511384,1,"allows"
"142",6,1.08827111580101,0.00875656742556918,0.00175131348511384,5,"alltel"
"143",2,0.290605484572301,0.00350262697022767,0,Inf,"alma"
"144",21,1.73967663273736,0.00525394045534151,0.031523642732049,0.166666666666667,"almost"
"145",1,0.0418143695678669,0,0.00175131348511384,0,"alone"
"146",7,0.548416932199778,0.00525394045534151,0.00700525394045534,0.75,"along"
"147",1,0.0824986210393049,0,0.00175131348511384,0,"alpha"
"148",26,1.37096719143136,0.00875656742556918,0.0367775831873905,0.238095238095238,"already"
"149",2,0.183937001162608,0.00175131348511384,0.00175131348511384,1,"alright"
"150",93,4.59433424028983,0.0700525394045534,0.0928196147110333,0.754716981132076,"also"
"151",14,1.25077834617489,0.00350262697022767,0.021015761821366,0.166666666666667,"although"
"152",2,0.168209235705636,0.00175131348511384,0.00175131348511384,1,"altogether"
"153",76,9.20107485190987,0.0788091068301226,0.0542907180385289,1.45161290322581,"always"
"154",3,0.714738969574649,0.00525394045534151,0,Inf,"amanda"
"155",1,0.398145518928819,0.00175131348511384,0,Inf,"amateurs"
"156",1,0.436064139779183,0.00175131348511384,0,Inf,"amaxyng"
"157",1,0.138747680838831,0.00175131348511384,0,Inf,"amazed"
"158",20,2.83667908922244,0.0297723292469352,0.00525394045534151,5.66666666666667,"amazing"
"159",2,0.76311224461357,0.00350262697022767,0,Inf,"amazon"
"160",1,0.179555822262017,0.00175131348511384,0,Inf,"amber"
"161",1,0.0497681898661024,0,0.00175131348511384,0,"ambiance"
"162",3,0.368272002331237,0,0.00525394045534151,0,"america"
"163",2,0.201260372205777,0,0.00350262697022767,0,"american"
"164",1,0.0285275605463017,0,0.00175131348511384,0,"americans"
"165",2,0.508741496409047,0.00350262697022767,0,Inf,"amii"
"166",1,0.143083545865044,0,0.00175131348511384,0,"amnesia"
"167",9,0.721130423188771,0.00525394045534151,0.010507880910683,0.5,"amount"
"168",1,0.183146938707257,0.00175131348511384,0,Inf,"amounts"
"169",1,0.0631541167956058,0,0.00175131348511384,0,"analysis"
"170",1,0.183146938707257,0,0.00175131348511384,0,"andor"
"171",1,0.381556122306785,0,0.00175131348511384,0,"andrew"
"172",12,1.04297318398912,0.0175131348511384,0.00350262697022767,5,"android"
"173",1,0.166497217006597,0,0.00175131348511384,0,"angelo"
"174",1,0.0872128279558366,0.00175131348511384,0,Inf,"anger"
"175",1,0.0995363797322048,0,0.00175131348511384,0,"angers"
"176",2,0.166597278277678,0.00175131348511384,0.00175131348511384,1,"angry"
"177",6,0.57835875381239,0.010507880910683,0,Inf,"angulo"
"178",1,0.0963931256353984,0.00175131348511384,0,Inf,"angulohe"
"179",1,0.610489795690856,0.00175131348511384,0,Inf,"ann"
"180",1,0.654096209668774,0,0.00175131348511384,0,"annika"
"181",1,0.109016034944796,0,0.00175131348511384,0,"annoy"
"182",1,0.0467211578334839,0,0.00175131348511384,0,"annoyance"
"183",2,0.253321558657151,0,0.00350262697022767,0,"annoyed"
"184",7,1.13774441888714,0,0.0122591943957968,0,"annoying"
"185",1,0.183146938707257,0.00175131348511384,0,Inf,"annoyingly"
"186",1,0.0872128279558366,0,0.00175131348511384,0,"anomaly"
"187",103,5.27820389989057,0.0437828371278459,0.136602451838879,0.320512820512821,"another"
"188",1,0.381556122306785,0,0.00175131348511384,0,"anotherbut"
"189",30,2.36907092887817,0.0122591943957968,0.0402802101576182,0.304347826086957,"answer"
"190",12,1.71908351979574,0.010507880910683,0.010507880910683,1,"answered"
"191",8,1.19627467515247,0.00875656742556918,0.00525394045534151,1.66666666666667,"answering"
"192",9,1.07078240568747,0.00350262697022767,0.0122591943957968,0.285714285714286,"answers"
"193",1,0.125443108703601,0.00175131348511384,0,Inf,"antenna"
"194",1,0.125443108703601,0.00175131348511384,0,Inf,"antennae"
"195",2,0.669732917517475,0.00350262697022767,0,Inf,"anthony"
"196",1,0.166497217006597,0.00175131348511384,0,Inf,"anticipated"
"197",1,0.0271731363067147,0,0.00175131348511384,0,"anticipating"
"198",2,0.286167091730089,0,0.00350262697022767,0,"anybody"
"199",1,0.228933673384071,0,0.00175131348511384,0,"anyhow"
"200",10,0.639201139533361,0.00700525394045534,0.010507880910683,0.666666666666667,"anymore"
"201",26,2.99303715908388,0.0192644483362522,0.0262697022767075,0.733333333333333,"anyone"
"202",50,2.28489775448082,0.00700525394045534,0.0805604203152364,0.0869565217391304,"anything"
"203",2,0.148209492875126,0.00175131348511384,0.00175131348511384,1,"anytime"
"204",17,0.94144178242807,0.00350262697022767,0.0262697022767075,0.133333333333333,"anyway"
"205",1,0.0906668013402262,0,0.00175131348511384,0,"anywaymake"
